id;name;price;picture_url;faction;vendu
ALT_CORE_B_YZ_07_U_7029;Mage-Danseur du Kadigir;60;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_YZ_07/UNIQUE/JPG/fr_FR/a36ffa61bd1b2665fbab57b32cd1c9ee.jpg;lyra;0
ALT_CORE_B_YZ_10_U_5785;Baku;8;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_YZ_10/UNIQUE/JPG/fr_FR/381f46e07ef6224c134533f2e63862d7.jpg;yzmir;0
ALT_CORE_B_YZ_11_U_702;Baba Yaga;40;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_YZ_11/UNIQUE/JPG/fr_FR/7544cf04c8a7ae19e065c73e05f9217f.jpg;ordis;0
ALT_CORE_B_YZ_15_U_6096;Kuwat, le Dissident;22;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_YZ_15/UNIQUE/JPG/fr_FR/5e1a2d10b7149d059fe0c07ee28a31cd.jpg;yzmir;0
ALT_CYCLONE_B_AX_66_U_2407;Gavroche;2;https://altered-prod-eu.s3.amazonaws.com/Art/CYCLONE/CARDS/ALT_CYCLONE_B_AX_66/UNIQUE/JPG/en_US/cd9c7ecf1ea6ea5461cead4a2bac20fc.jpg;lyra;0
ALT_CYCLONE_B_BR_71_U_5060;Phileas Fogg;80;https://altered-prod-eu.s3.amazonaws.com/Art/CYCLONE/CARDS/ALT_CYCLONE_B_BR_71/UNIQUE/JPG/fr_FR/9b49da40516e1380b95d7711880c9bca.jpg;bravos;0
ALT_CYCLONE_B_BR_71_U_9828;Phileas Fogg;48;https://altered-prod-eu.s3.amazonaws.com/Art/CYCLONE/CARDS/ALT_CYCLONE_B_BR_71/UNIQUE/JPG/fr_FR/ab7f950fe8108405d9895c3db63e0a16.jpg;bravos;0
ALT_CYCLONE_B_LY_74_U_3968;Koï, Léviathan Espiègle;25;https://altered-prod-eu.s3.amazonaws.com/Art/CYCLONE/CARDS/ALT_CYCLONE_B_LY_74/UNIQUE/JPG/fr_FR/72f891b9c51943d3a63a93a6df9f2dd8.jpg;bravos;0
ALT_CYCLONE_B_MU_70_U_2693;Coucou Chamarré;10;https://altered-prod-eu.s3.amazonaws.com/Art/CYCLONE/CARDS/ALT_CYCLONE_B_MU_70/UNIQUE/JPG/en_US/6b927eda62d68385b481f6e99307b896.jpg;muna;0
ALT_CYCLONE_B_MU_70_U_7235;Coucou Chamarré;12;https://altered-prod-eu.s3.amazonaws.com/Art/CYCLONE/CARDS/ALT_CYCLONE_B_MU_70/UNIQUE/JPG/fr_FR/60b4055c9f6b9220778e8ae892b2dfac.jpg;bravos;0
